high,low,open,close,volume,time
10479.24,9000.0,10411.0,10479.24,69573.1870785,11:59:59.999
11555.0,10050.0,10496.74,10361.18,332397.6670797,15:59:59.999
10522.26,9820.0,10400.0,10500.74,377923.8252442,19:59:59.999
10717.0,10510.0,10510.51,10678.65,70865.3222664,23:59:59.999
10680.68,10592.7,10654.33,10680.68,2744.6309188,03:59:59.999
10647.33,10528.65,10632.32,10590.0,5217.7801802,07:59:59.999
10677.92,10555.23,10663.09,10596.3,113571.8430403,11:59:59.999
10627.4,10410.88,10529.0,10435.23,69569.7065169,15:59:59.999
10500.0,10266.0,10433.22,10336.17,200398.0788089,19:59:59.999
10703.0,10287.85,10324.83,10703.0,48577.3292759,23:59:59.999
10924.29,10614.31,10705.0,10693.61,49969.2461437,03:59:59.999
10762.18,10538.72,10577.7,10762.18,59077.8481436,07:59:59.999
10736.82,10420.0,10598.3,10485.0,37722.2063175,11:59:59.999
10643.99,10430.0,10444.22,10486.91,373374.6683088,15:59:59.999
10700.0,10419.21,10499.73,10549.28,140412.090954,19:59:59.999
10925.0,10508.88,10580.0,10597.3,77494.8194459,23:59:59.999
10691.35,10528.73,10644.32,10528.73,17337.6465773,03:59:59.999
10633.47,10539.72,10561.28,10567.29,31342.2193258,07:59:59.999
10660.0,10058.03,10580.29,10169.09,142127.448035,11:59:59.999
10393.0,10090.0,10158.08,10161.91,70812.9167954,15:59:59.999
10306.3,10066.0,10169.09,10096.91,61367.3099722,19:59:59.999
10210.0,10044.0,10096.91,10115.06,28881.1493786,23:59:59.999
10109.06,10109.06,10109.06,10109.06,212.9978942,03:59:59.999
10208.74,10044.0,10109.06,10044.0,8163.1706425,07:59:59.999
10210.0,10011.0,10050.0,10210.0,15317.5755659,11:59:59.999
10322.06,10150.0,10210.0,10150.0,31983.984764,15:59:59.999
10199.99,10149.0,10149.0,10152.0,9992.3236654,19:59:59.999
10408.48,10100.0,10150.0,10299.15,31465.557441,23:59:59.999
10301.15,10186.1,10301.15,10193.9,2683.7381515,03:59:59.999
10210.11,10150.0,10193.9,10150.0,2825.4834531,07:59:59.999
10186.9,10134.07,10186.9,10135.07,7559.7523459,11:59:59.999
10333.0,10066.0,10101.0,10224.86,49854.2057064,15:59:59.999
10327.0,10120.0,10140.0,10207.11,110541.2780201,19:59:59.999
10320.0,10138.0,10207.11,10138.0,31008.9857977,23:59:59.999
10173.91,10158.08,10158.08,10173.91,9144.2615038,03:59:59.999
10174.0,10097.0,10173.91,10124.06,11725.7019962,07:59:59.999
10196.1,9990.0,10124.06,10041.02,119316.6434913,11:59:59.999
10187.2,9720.44,10039.02,9758.38,272037.368774,15:59:59.999
9920.56,9615.95,9750.0,9758.08,161138.7969801,19:59:59.999
9959.34,9690.25,9763.38,9740.97,62351.4482634,23:59:59.999
9723.56,9400.0,9723.56,9537.7,30053.9268618,03:59:59.999
9642.71,9442.31,9541.71,9466.01,66621.7781646,07:59:59.999
9518.1,9280.0,9506.24,9380.39,192764.9535184,11:59:59.999
9694.66,9363.48,9424.31,9370.0,160259.5137529,15:59:59.999
